local_repo	remote_url	commit
emacsmirror-mirror	https://github.com/emacs-straight/emacsmirror-mirror.git	eda595efd14b64368b223db954128a2fb79ce3cb
emacsql	https://github.com/magit/emacsql.git	2fe6d4562b32a170a750d5e80514fbb6b6694803
embark	https://github.com/oantolin/embark.git	ec5dd1475595277ef908567d0a18d32f1c40bc91
embrace.el	https://github.com/cute-jumper/embrace.el.git	c7e748603151d7d91c237fd2d9cdf56e9f3b1ea8
emmet-mode	https://github.com/smihica/emmet-mode.git	322d3bb112fced57d63b44863357f7a0b7eee1e3
epl	https://github.com/cask/epl.git	78ab7a85c08222cd15582a298a364774e3282ce6
eros	https://github.com/xiongtx/eros.git	66ee90baa3162fea028f5101ddcc370f7d1d4fcf
evil	https://github.com/emacs-evil/evil.git	729d9a58b387704011a115c9200614e32da3cefc
evil-anzu	https://github.com/emacsorphanage/evil-anzu.git	7309650425797420944075c9c1556c7c1ff960b3
evil-args	https://github.com/wcsmith/evil-args.git	a8151556f63c9d45d0c44c8a7ef9e5a542f3cdc7
evil-collection	https://github.com/emacs-evil/evil-collection.git	cf16b126feed89c06d86cde7a0276d71ac512857
evil-easymotion	https://github.com/PythonNut/evil-easymotion.git	f96c2ed38ddc07908db7c3c11bcd6285a3e8c2e9
evil-embrace.el	https://github.com/cute-jumper/evil-embrace.el.git	3081d37811b6a3dfaaf01d578c7ab7a746c6064d
evil-escape	https://github.com/hlissner/evil-escape.git	819f1ee1cf3f69a1ae920e6004f2c0baeebbe077
evil-exchange	https://github.com/Dewdrops/evil-exchange.git	5f0a2d41434c17c6fb02e4f744043775de1c63a2
evil-goggles	https://github.com/edkolev/evil-goggles.git	34ca276a85f615d2b45e714c9f8b5875bcb676f3
evil-indent-plus	https://github.com/TheBB/evil-indent-plus.git	f392696e4813f1d3a92c7eeed333248914ba6dae
evil-leader	https://github.com/cofi/evil-leader.git	39f7014bcf8b36463e0c7512c638bda4bac6c2cf
evil-lion	https://github.com/edkolev/evil-lion.git	5a0bca151466960e090d1803c4c5ded88875f90a
evil-markdown	https://github.com/Somelauw/evil-markdown.git	8e6cc68af83914b2fa9fd3a3b8472573dbcef477
evil-mc	https://github.com/gabesoft/evil-mc.git	7e363dd6b0a39751e13eb76f2e9b7b13c7054a43
evil-multiedit	https://github.com/hlissner/evil-multiedit.git	23b53bc8743fb82a8854ba907b1d277374c93a79
evil-nerd-commenter	https://github.com/redguardtoo/evil-nerd-commenter.git	db5ee61a6e75db074b7d20e9dcb68e0b94b4edc7
evil-numbers	https://github.com/juliapath/evil-numbers.git	616aff9e5cee012954756ed2715209fa90308cdf
evil-org-mode	https://github.com/doomelpa/evil-org-mode.git	06518c65ff4f7aea2ea51149d701549dcbccce5d
evil-quick-diff	https://github.com/rgrinberg/evil-quick-diff.git	69c883720b30a892c63bc89f49d4f0e8b8028908
evil-snipe	https://github.com/hlissner/evil-snipe.git	16317d7e54313490a0fe8642ed9a1a72498e7ad2
evil-surround	https://github.com/emacs-evil/evil-surround.git	da05c60b0621cf33161bb4335153f75ff5c29d91
evil-textobj-anyblock	https://github.com/willghatch/evil-textobj-anyblock.git	29280cd71a05429364cdceef2ff595ae8afade4d
evil-traces	https://github.com/mamapanda/evil-traces.git	82e8a7b4213aed140f6eb5f2cc33a09bb5587166
evil-vimish-fold	https://github.com/alexmurray/evil-vimish-fold.git	b6e0e6b91b8cd047e80debef1a536d9d49eef31a
evil-visualstar	https://github.com/bling/evil-visualstar.git	06c053d8f7381f91c53311b1234872ca96ced752
exato	https://github.com/ninrod/exato.git	aee7af7b7a0e7551478f453d1de7d5b9cb2e06c4
expand-region.el	https://github.com/magnars/expand-region.el.git	351279272330cae6cecea941b0033a8dd8bcc4e8
f.el	https://github.com/rejeep/f.el.git	931b6d0667fe03e7bf1c6c282d6d8d7006143c52
flycheck	https://github.com/flycheck/flycheck.git	0e5eb8300d32fd562724216c19eaf199ee1451ab
flycheck-package	https://github.com/purcell/flycheck-package.git	a52e4e95f3151898b36739dfdb4a98b368626fc0
flycheck-popup-tip	https://github.com/flycheck/flycheck-popup-tip.git	ef86aad907f27ca076859d8d9416f4f7727619c6
fzf.el	https://github.com/bling/fzf.el.git	75060d81f4eea3f8088ac2a4a3a253c686b44d44
gcmh	https://gitlab.com/koral/gcmh.git	0089f9c3a6d4e9a310d0791cf6fa8f35642ecfd9
general.el	https://github.com/noctuid/general.el.git	a48768f85a655fe77b5f45c2880b420da1b1b9c3
git-modes	https://github.com/magit/git-modes.git	c3faeeea1982786f78d8c38397dec0f078eaec84
git-timemachine	https://github.com/emacsmirror/git-timemachine.git	d1346a76122595aeeb7ebb292765841c6cfd417b
gnu-elpa-mirror	https://github.com/emacs-straight/gnu-elpa-mirror.git	e964a283e203b8ecb1fe439682f0c30e139ff1d6
goto-chg	https://github.com/emacs-evil/goto-chg.git	72f556524b88e9d30dc7fc5b0dc32078c166fda7
haml-mode	https://github.com/nex3/haml-mode.git	3bb4a96535eb5c81dbe6a43bfa8d67a778d449c0
helm	https://github.com/emacs-helm/helm.git	d178e52895c091c26221f18b9b1236f985c79226
helm-ag	https://github.com/emacsorphanage/helm-ag.git	a7b43d9622ea5dcff3e3e0bb0b7dcc342b272171
helm-descbinds	https://github.com/emacs-helm/helm-descbinds.git	0aff44badad976ebf2666a7e9b6ddf4db53e59e5
helm-projectile	https://github.com/bbatsov/helm-projectile.git	0ffb6b5f09c1d65d721c1111ebfa6cec0ba63234
helm-swoop	https://github.com/emacsorphanage/helm-swoop.git	df90efd4476dec61186d80cace69276a95b834d2
helpful	https://github.com/Wilfred/helpful.git	03756fa6ad4dcca5e0920622b1ee3f70abfc4e39
highlight-quoted	https://github.com/Fanael/highlight-quoted.git	24103478158cd19fbcfb4339a3f1fa1f054f1469
hl-todo	https://github.com/tarsius/hl-todo.git	9a147b9a306471d156dbf8f53af7724061806f80
ht.el	https://github.com/Wilfred/ht.el.git	1c49aad1c820c86f7ee35bf9fff8429502f60fef
htmlize	https://github.com/emacsorphanage/htmlize.git	fa644880699adea3770504f913e6dddbec90c076
hydra	https://github.com/abo-abo/hydra.git	59a2a45a35027948476d1d7751b0f0215b1e61aa
iedit	https://github.com/victorhge/iedit.git	14161daa295332a49dda92b97c00d62efd38acfe
imenu-anywhere	https://github.com/vspinu/imenu-anywhere.git	06ec33d79e33edf01b9118aead1eabeae8ee08b1
ivy-rich	https://github.com/Yevgnen/ivy-rich.git	aff9b6bd53e0fdcf350ab83c90e64e651b47dba4
ivy-xref	https://github.com/alexmurray/ivy-xref.git	a82e8e117d2dd62c28b6a3e3d6e4cfb11c0bda38
jade-mode	https://github.com/brianc/jade-mode.git	1ad7c51f3c6a6ae64550d9510c5e4e8470014375
json-mode	https://github.com/json-emacs/json-mode.git	466d5b563721bbeffac3f610aefaac15a39d90a9
json-snatcher	https://github.com/Sterlingg/json-snatcher.git	b28d1c0670636da6db508d03872d96ffddbc10f2
let-completion.el	https://github.com/gggion/let-completion.el.git	460cdd5a73d857d6d91469e28f84f02465db8dac
libmpdel	https://github.com/mpdel/libmpdel.git	f2cb01c8d004b5fbfa937579e899035a47d2a5f2
link-hint.el	https://github.com/noctuid/link-hint.el.git	8fda5dcb9caff5a3c49d22b82e570ac9e29af7dd
listen	https://github.com/emacs-straight/listen.git	737c0eb6cc0ed7a9df469dc9a8523faddf8a9246
llama	https://github.com/tarsius/llama.git	e6d2127c12d43a923b86341cb160c8c23c3a2e0d
lsp-mode	https://github.com/emacs-lsp/lsp-mode.git	e5cdc6c8f4ef7c0cfaa9b4210381b6230d010463
